date,season,weathersit,temp,atemp,hum,windspeed,holiday,is_weekend,cnt
2015-01-06 6:00,3,3,8,5,84.5,15,0,0,530
2015-01-06 7:00,3,3,9,7,82,13,0,0,1715
2015-01-06 8:00,3,7,9,7,82,12,0,0,3534
2015-01-06 9:00,3,7,9,6.5,87,16,0,0,1573
2015-01-06 10:00,3,3,10,7.5,88,19.5,0,0,635
2015-01-06 11:00,3,3,10,8,88,18,0,0,550
2015-01-06 12:00,3,7,11,11,85,19,0,0,395
2015-01-06 13:00,3,3,9.5,6,84.5,27.5,0,0,426
2015-01-06 14:00,3,3,9,6,71,26,0,0,579
2015-01-06 15:00,3,2,8,4.5,71,23,0,0,718
2015-01-06 16:00,3,2,8,5,68.5,19.5,0,0,1184
2015-01-06 17:00,3,1,7.5,4,71,22,0,0,2662
2015-01-06 18:00,3,1,7,4,71,17.5,0,0,2610
2015-01-06 19:00,3,1,6,3,76,15,0,0,1402
2015-01-06 20:00,3,1,5.5,2.5,78.5,15,0,0,720
2015-01-06 21:00,3,1,5,2,81,15,0,0,494
2015-01-06 22:00,3,1,4.5,1.5,81,13,0,0,344
2015-01-06 23:00,3,1,4,1,84,12,0,0,212
2015-01-07 0:00,3,1,4,1,81,12,0,0,102
2015-01-07 1:00,3,1,4,1,81,11,0,0,60
2015-01-07 2:00,3,1,4,1.5,81,10,0,0,33
2015-01-07 3:00,3,2,3.5,1,84,9,0,0,26
2015-01-07 4:00,3,2,4,1.5,81,10,0,0,33
2015-01-07 5:00,3,1,4,2,87,9,0,0,80
2015-01-07 6:00,3,1,5,2.5,81,10,0,0,526
2015-01-07 7:00,3,1,5.5,2.5,81,13,0,0,1757
2015-01-07 8:00,3,2,6.5,3.5,81,15,0,0,3618
2015-01-07 9:00,3,3,8,5,76,19,0,0,1714
2015-01-07 10:00,3,2,8,5,82,19.5,0,0,763
2015-01-07 11:00,3,2,9,6,76,21,0,0,690
2015-01-07 12:00,3,2,9,5.5,76,27,0,0,913
2015-01-07 13:00,3,2,9.5,6,71.5,28,0,0,982
2015-01-07 14:00,3,2,10,6.5,62,28.5,0,0,783
2015-01-07 15:00,3,2,9,6,68.5,25,0,0,794
2015-01-07 16:00,3,3,9,6,76,25,0,0,1171
2015-01-07 17:00,3,3,9.5,6.5,71.5,24,0,0,2647
2015-01-07 18:00,3,3,10,7,71,30,0,0,2579
2015-01-07 20:00,3,3,10,6.5,79,30.5,0,0,657
2015-01-07 21:00,3,7,10,7,82,27,0,0,516
2015-01-07 22:00,3,7,10,7,82,27,0,0,414
2015-01-07 23:00,3,7,10,7,85,24,0,0,206
2015-01-08 0:00,3,4,11,11,82,26,0,0,123
2015-01-08 1:00,3,3,11.5,11.5,85,24,0,0,56
2015-01-08 2:00,3,3,12,12,82,25,0,0,51
2015-01-08 3:00,3,3,12,12,85,22,0,0,33
2015-01-08 4:00,3,7,12,12,88,20.5,0,0,32
2015-01-08 5:00,3,7,12,12,80,20.5,0,0,87
2015-01-08 6:00,3,3,11.5,11.5,74.5,17,0,0,511
2015-01-08 7:00,3,7,10.5,9.5,82.5,17,0,0,982
2015-01-08 8:00,3,7,9.5,7.5,87.5,14,0,0,1228
2015-01-08 9:00,3,7,9,7,87,13,0,0,573
2015-01-08 10:00,3,7,9,7,87,14,0,0,185
2015-01-08 11:00,3,7,9,6,82,20.5,0,0,193
2015-01-08 12:00,3,2,9,6.5,84.5,17,0,0,522
2015-01-08 13:00,3,2,9,5.5,79,27,0,0,672
2015-01-08 14:00,3,2,10,7,71,22,0,0,761
2015-01-08 15:00,3,2,9,6,71,22,0,0,781
2015-01-08 16:00,3,2,9,6,71,19.5,0,0,1212
2015-01-08 17:00,3,2,9,6,76,22,0,0,2351
2015-01-08 18:00,3,1,8.5,5.5,73.5,22.5,0,0,2110
2015-01-08 19:00,3,1,8,5,73.5,20.5,0,0,1239
2015-01-08 20:00,3,1,8,5,76,17,0,0,752
2015-01-08 21:00,3,1,8,4.5,76,20.5,0,0,457
2015-01-08 22:00,3,1,8.5,5.5,73.5,21,0,0,423
2015-01-08 23:00,3,2,9,5.5,76,27,0,0,267
2015-01-09 0:00,3,2,10,7,71,28,0,0,147
2015-01-09 1:00,3,7,10,7,73.5,30,0,0,60
2015-01-09 2:00,3,7,10,6.5,79,29.5,0,0,65
2015-01-09 3:00,3,3,11,11,79.5,29,0,0,42
2015-01-09 4:00,3,3,11,11,85,33,0,0,47
2015-01-09 5:00,3,3,11.5,11.5,85,33,0,0,85
2015-01-09 6:00,3,3,12,12,82,32.5,0,0,441
2015-01-09 7:00,3,3,12,12,82,31.5,0,0,1593
2015-01-09 8:00,3,2,12,12,79.5,25,0,0,3505
2015-01-09 9:00,3,2,12,12,74.5,30,0,0,1768
2015-01-09 10:00,3,1,12.5,12.5,69.5,29.5,0,0,799
2015-01-09 11:00,3,1,13,13,67,28,0,0,806
2015-01-09 12:00,3,1,13,13,67,26,0,0,1052
2015-01-09 13:00,3,1,13,13,63,30,0,0,1078
2015-01-09 14:00,3,2,13,13,63,26,0,0,976
2015-01-09 15:00,3,7,13.5,13.5,67.5,33.5,0,0,912
2015-01-09 16:00,3,7,13,13,79.5,37,0,0,1229
2015-01-09 17:00,3,7,13.5,13.5,85,35,0,0,2409
2015-01-09 18:00,3,7,15,15,82,36,0,0,1983
2015-01-09 19:00,3,7,15.5,15.5,77,41,0,0,1094
2015-01-09 20:00,3,3,15,15,72,44,0,0,686
2015-01-09 21:00,3,3,15,15,68,41,0,0,443
2015-01-09 22:00,3,3,15,15,68,40,0,0,464
2015-01-09 23:00,3,4,14,14,77,41.5,0,0,420
2015-01-10 0:00,3,4,14,14,77,39,0,1,392
2015-01-10 1:00,3,4,14,14,77,40,0,1,277
2015-01-10 2:00,3,3,14,14,72,40.5,0,1,189
2015-01-10 3:00,3,3,13,13,77,41,0,1,153
2015-01-10 4:00,3,3,13,13,77,36,0,1,90
2015-01-10 5:00,3,3,13,13,77,35,0,1,52
2015-01-10 6:00,3,7,13,13,82,35,0,1,69
2015-01-10 7:00,3,3,13,13,79.5,35,0,1,143
2015-01-10 8:00,3,3,14,14,74.5,40,0,1,321
2015-01-10 9:00,3,3,14,14,77,48,0,1,619
2015-01-10 10:00,3,7,14,14,74.5,41,0,1,757
2015-01-10 11:00,3,3,11.5,11.5,67.5,42.5,0,1,800
2015-01-10 12:00,3,2,11.5,11.5,58,41.5,0,1,1191
2015-01-10 13:00,3,3,10.5,8.5,54,38,0,1,1395
2015-01-10 14:00,3,3,9,4.5,54,42.5,0,1,1358
2015-01-10 15:00,3,2,9,5,48,35,0,1,1436
2015-01-10 16:00,3,1,8,4,51.5,27,0,1,1270
2015-01-10 17:00,3,2,8,4,51.5,29,0,1,1054
2015-01-10 18:00,3,1,7,3,55,26,0,1,849
2015-01-10 19:00,3,1,6,2,57,26,0,1,720
2015-01-10 20:00,3,1,6,2,57,25,0,1,556
2015-01-10 21:00,3,1,6,2,57,21,0,1,349
2015-01-10 22:00,3,1,5,1,66,20,0,1,335
2015-01-10 23:00,3,1,5,1,66,19.5,0,1,334
2015-01-11 0:00,3,1,4.5,0.5,72.5,22,0,1,360
2015-01-11 1:00,3,1,4,-0.5,75,22,0,1,255
2015-01-11 2:00,3,1,4,-0.5,75,23,0,1,198
2015-01-11 3:00,3,2,4,-1,75,27,0,1,135
2015-01-11 4:00,3,1,4,-1,72.5,28,0,1,74
2015-01-11 5:00,3,1,4,-1,70,27,0,1,57
2015-01-11 6:00,3,1,4.5,0,68,24,0,1,67
2015-01-11 7:00,3,1,5,1,66,24,0,1,93
2015-01-11 8:00,3,1,5,0,66,29.5,0,1,241
2015-01-11 9:00,3,1,5.5,0.5,63.5,29,0,1,538
2015-01-11 10:00,3,1,6.5,2,61,30,0,1,922
2015-01-11 11:00,3,1,7.5,3.5,59,27,0,1,1248
2015-01-11 12:00,3,1,8.5,4.5,55.5,27,0,1,1555
2015-01-11 13:00,3,2,9,5,56,28,0,1,1813
2015-01-11 14:00,3,2,9,5,60,28,0,1,1639
2015-01-11 15:00,3,3,8.5,5,64,26,0,1,1464
2015-01-11 16:00,3,3,8,4.5,66,23,0,1,1097
2015-01-11 17:00,3,7,8,5,71,20.5,0,1,827
2015-01-11 18:00,3,7,8,4,73.5,25,0,1,519
2015-01-11 19:00,3,3,8,4,73.5,24,0,1,493
2015-01-11 20:00,3,7,8,4.5,71,26,0,1,315
2015-01-11 21:00,3,7,8,4,71,30,0,1,260
2015-01-11 22:00,3,7,9,5,66,37,0,1,237
2015-01-11 23:00,3,3,9,5,71,30.5,0,1,168
2015-01-12 0:00,3,2,9,5,68.5,29,0,0,117
2015-01-12 1:00,3,4,10,6,60,34,0,0,45
2015-01-12 2:00,3,4,10,7,64.5,30,0,0,29
2015-01-12 3:00,3,3,10,6.5,67,30.5,0,0,36
2015-01-12 4:00,3,3,10,6.5,67,33.5,0,0,26
2015-01-12 5:00,3,3,10,6,67,35,0,0,86
2015-01-12 6:00,3,7,10,6,73.5,31,0,0,433
2015-01-12 7:00,3,7,10,7,76,30,0,0,1541
2015-01-12 8:00,3,3,10,6,76,31,0,0,3418
2015-01-12 9:00,3,3,11.5,11.5,67,32.5,0,0,1832
2015-01-12 10:00,3,3,12,12,67,33,0,0,723
2015-01-12 11:00,3,3,12,12,74.5,39,0,0,654
2015-01-12 12:00,3,3,12,12,79.5,29.5,0,0,700
2015-01-12 13:00,3,3,12,12,79.5,29.5,0,0,631
2015-01-12 14:00,3,7,12.5,12.5,77,33,0,0,520
2015-01-12 15:00,3,7,12,12,82,25,0,0,374
2015-01-12 16:00,3,7,12,12,82,22.5,0,0,669
2015-01-12 17:00,3,7,11.5,11.5,88,22,0,0,1510
2015-01-12 18:00,3,7,11,11,94,22,0,0,1186
2015-01-12 19:00,3,7,11.5,11.5,85,22,0,0,1136
2015-01-12 20:00,3,4,12,12,82,20,0,0,753
2015-01-12 21:00,3,7,12,12,85,18.5,0,0,510
2015-01-12 22:00,3,7,12,12,88,21,0,0,184
2015-01-12 23:00,3,7,12,12,88,23,0,0,86
2015-01-13 0:00,3,7,12,12,88,25,0,0,64
2015-01-13 1:00,3,7,12,12,88,30,0,0,29
2015-01-13 2:00,3,7,11.5,11.5,88,24.5,0,0,21
2015-01-13 3:00,3,7,11,11,85,19,0,0,13
2015-01-13 4:00,3,7,11,11,82,21,0,0,33
2015-01-13 5:00,3,7,10.5,9,79.5,21,0,0,113
2015-01-13 6:00,3,2,10,7.5,82,20.5,0,0,600
2015-01-13 7:00,3,7,9.5,6.5,79,21,0,0,1584
2015-01-13 8:00,3,2,9,6.5,71,16,0,0,3960
2015-01-13 9:00,3,2,9,6,71,18,0,0,2090
2015-01-13 10:00,3,1,9,6.5,71,17.5,0,0,960
2015-01-13 11:00,3,2,9,6,68.5,18,0,0,866
2015-01-13 12:00,3,7,9.5,6.5,64,20.5,0,0,1019
2015-01-13 13:00,3,7,9,5.5,73.5,27.5,0,0,719
2015-01-13 14:00,3,7,8.5,4.5,71,29,0,0,811
2015-01-13 15:00,3,2,8,4.5,73.5,21.5,0,0,883
2015-01-13 16:00,3,2,7.5,4,68.5,23,0,0,1391
2015-01-13 17:00,3,2,7,3,71,22,0,0,2886
2015-01-13 18:00,3,7,7,4.5,71,14,0,0,2659
2015-01-13 19:00,3,7,6,2.5,76,19.5,0,0,1548
2015-01-13 20:00,3,2,5.5,1.5,76,21,0,0,947
2015-01-13 21:00,3,2,5,1,76,23,0,0,660
2015-01-13 22:00,3,1,5,2,76,17,0,0,501
2015-01-13 23:00,3,1,5,1,70,19.5,0,0,340
2015-01-14 0:00,3,1,5,0.5,66,26,0,0,168
2015-01-14 1:00,3,1,5,0,66,30,0,0,79
2015-01-14 2:00,3,1,5,0.5,66,24,0,0,60
2015-01-14 3:00,3,1,4.5,0.5,72.5,21,0,0,54
2015-01-14 4:00,3,1,4.5,1.5,72.5,14,0,0,44
2015-01-14 5:00,3,1,5,1.5,70,17.5,0,0,93
2015-01-14 6:00,3,3,5,1,70,23,0,0,560
2015-01-14 7:00,3,2,4.5,-1,68,30.5,0,0,1820
2015-01-14 8:00,3,2,4,-1,70,26,0,0,3904
2015-01-14 9:00,3,2,4.5,-0.5,68,29,0,0,2064
2015-01-14 10:00,3,2,5,0,70,30.5,0,0,841
2015-01-14 11:00,3,2,5.5,1,65.5,27,0,0,732
2015-01-14 12:00,3,2,6.5,2.5,59,27,0,0,1013
2015-01-14 13:00,3,2,7,3,57,24,0,0,1066
2015-01-14 14:00,3,2,7,3.5,55,22,0,0,913
2015-01-14 15:00,3,1,7,4,55,18,0,0,969
2015-01-14 16:00,3,1,7,4.5,59,16,0,0,1365
2015-01-14 17:00,3,2,7.5,4.5,64,16,0,0,2638
2015-01-14 18:00,3,2,8,4.5,71,21.5,0,0,1974
2015-01-14 19:00,3,3,9,5.5,71,27,0,0,1254
2015-01-14 20:00,3,3,10,6,69,31,0,0,885
2015-01-14 21:00,3,7,10,6,71,38,0,0,537
2015-01-14 22:00,3,7,9.5,5.5,76.5,39,0,0,344
2015-01-14 23:00,3,26,10,6,79,40,0,0,188
2015-01-15 0:00,3,7,10,6,82,40,0,0,91
2015-01-15 1:00,3,26,11,11,79.5,40,0,0,66
2015-01-15 2:00,3,26,11,11,82,44.5,0,0,25
2015-01-15 3:00,3,7,11.5,11.5,79.5,45,0,0,23
2015-01-15 4:00,3,26,11,11,77,37,0,0,23
2015-01-15 5:00,3,7,10,6.5,79,31.5,0,0,62
2015-01-15 6:00,3,7,9.5,5.5,73.5,29.5,0,0,481
2015-01-15 7:00,3,2,9,6,73.5,23,0,0,1692
2015-01-15 8:00,3,1,9,6,66,21,0,0,3673
2015-01-15 9:00,3,2,9,6,73.5,19.5,0,0,1941
2015-01-15 10:00,3,2,9,6,76,21,0,0,844
2015-01-15 11:00,3,2,9,6,66,26,0,0,729
2015-01-15 12:00,3,7,8.5,5,71,25,0,0,835
2015-01-15 13:00,3,2,9,5,64,32.5,0,0,1005
2015-01-15 14:00,3,2,9,5,60,30.5,0,0,828
2015-01-15 15:00,3,2,9,5,52,36,0,0,912
2015-01-15 16:00,3,2,8,4,53,29,0,0,1249
2015-01-15 17:00,3,2,7.5,3.5,55,29.5,0,0,2524
2015-01-15 18:00,3,2,7,3,57,29.5,0,0,2480
2015-01-15 19:00,3,2,8,4,51.5,29.5,0,0,1353
2015-01-15 20:00,3,2,7,2,51,34,0,0,810
2015-01-15 21:00,3,1,6.5,1.5,57,32,0,0,591
2015-01-15 22:00,3,2,6.5,1.5,59,33,0,0,430
2015-01-15 23:00,3,1,7,3,57,29.5,0,0,301
2015-01-16 0:00,3,1,7,3,53,31,0,0,208
2015-01-16 1:00,3,1,7,3,53,27.5,0,0,117
2015-01-16 2:00,3,1,6.5,2.5,59,22,0,0,71
2015-01-16 3:00,3,1,6.5,2.5,59,25,0,0,59
2015-01-16 4:00,3,1,6.5,3,55,20.5,0,0,46
2015-01-16 5:00,3,1,6.5,3,55,20.5,0,0,88
2015-01-16 6:00,3,1,7,4,55,18.5,0,0,471
2015-01-16 7:00,3,7,7,4.5,59,15,0,0,1648
2015-01-16 8:00,3,3,7,4.5,61,15,0,0,3546
2015-01-16 9:00,3,2,6,3,71,13,0,0,1980
2015-01-16 10:00,3,2,6.5,3.5,68.5,17,0,0,878
2015-01-16 11:00,3,2,6,2.5,76,19.5,0,0,795
2015-01-16 12:00,3,2,6,3,73.5,17,0,0,994
2015-01-16 13:00,3,2,7,4,68.5,15,0,0,1122
2015-01-16 14:00,3,2,7,4.5,66,15,0,0,941
2015-01-16 15:00,3,2,7,4,66,15,0,0,1104
2015-01-16 16:00,3,7,6,2,68.5,23.5,0,0,1149
2015-01-16 17:00,3,2,5.5,2.5,76,14,0,0,2348
2015-01-16 18:00,3,3,5,1.5,73,16,0,0,2002
2015-01-16 19:00,3,1,4,1,72.5,12,0,0,1183
2015-01-16 20:00,3,1,4,2,72.5,9,0,0,693
2015-01-16 21:00,3,1,3,0,75,11,0,0,473
2015-01-16 22:00,3,1,2.5,-1.5,72.5,15,0,0,386
2015-01-16 23:00,3,1,2.5,-1,81,12,0,0,361
2015-01-17 0:00,3,1,2,-2,81,13,0,1,328
2015-01-17 1:00,3,1,2,-1.5,81,12,0,1,220
2015-01-17 2:00,3,1,1,-3,81,14,0,1,199
2015-01-17 3:00,3,1,1,-3,81,15,0,1,144
2015-01-17 4:00,3,1,1,-2,81,10,0,1,76
2015-01-17 5:00,3,1,0.5,-2.5,77.5,8,0,1,68
2015-01-17 6:00,3,1,0.5,-3,77.5,10,0,1,70
2015-01-17 7:00,3,1,1.5,-2.5,72.5,16,0,1,154
2015-01-17 8:00,3,1,2.5,-1.5,67.5,15,0,1,350
2015-01-17 9:00,3,1,3.5,-0.5,65,16,0,1,682
2015-01-17 10:00,3,7,4,0,70,21,0,1,784
2015-01-17 11:00,3,7,5,1.5,73,18.5,0,1,998
2015-01-17 12:00,3,2,6.5,3.5,73.5,17,0,1,1360
2015-01-17 13:00,3,2,6,2.5,73.5,20.5,0,1,1421
2015-01-17 14:00,3,2,7,4,66,17,0,1,1531
2015-01-17 15:00,3,1,6,3,71,18,0,1,1527
2015-01-17 16:00,3,1,6,3,71,15,0,1,1257
2015-01-17 17:00,3,1,5,2.5,76,10,0,1,997
2015-01-17 18:00,3,1,5,2,76,13,0,1,765
2015-01-17 19:00,3,1,5,2,76,12,0,1,719
2015-01-17 20:00,3,1,5,3,81,9,0,1,525
2015-01-17 21:00,3,1,5,2.5,76,10,0,1,415
2015-01-17 22:00,3,2,5,3,76,7,0,1,328
2015-01-17 23:00,3,7,5,2.5,78.5,9,0,1,350
2015-01-18 0:00,3,2,5,3,76,7,0,1,383
2015-01-18 1:00,3,7,5,3.5,76,6.5,0,1,268
2015-01-18 2:00,3,7,5,3,81,8,0,1,268
2015-01-18 3:00,3,7,4.5,3,84,6.5,0,1,140
2015-01-18 4:00,3,7,4,4,87,0,0,1,73
2015-01-18 5:00,3,7,4,3.5,90,5,0,1,53
2015-01-18 6:00,3,7,4,3.5,90,5,0,1,54
2015-01-18 7:00,3,7,4,3.5,87,5,0,1,97
2015-01-18 8:00,3,2,4,3.5,93,5,0,1,210
2015-01-18 9:00,3,7,4,2.5,90,6.5,0,1,406
2015-01-18 10:00,3,7,4,2,87,9,0,1,693
2015-01-18 11:00,3,4,4,1.5,84,9,0,1,906
2015-01-18 12:00,3,2,4,1,81,12,0,1,1244
2015-01-18 13:00,3,2,4,1,81,12,0,1,1401
2015-01-18 14:00,3,2,4,1,75,14,0,1,1313
2015-01-18 15:00,3,2,4,1,75,13,0,1,1450
2015-01-18 16:00,3,2,3,2,81,6,0,1,1111
2015-01-18 17:00,3,1,3,3,81,4,0,1,844
2015-01-18 18:00,3,1,2,0,87,6.5,0,1,694
2015-01-18 19:00,3,1,2,-0.5,87,8,0,1,510
2015-01-18 20:00,3,1,1.5,0.5,87,5.5,0,1,370
2015-01-18 21:00,3,1,1,1,87,4,0,1,265
2015-01-18 22:00,3,1,1,1,87,4,0,1,249
2015-01-18 23:00,3,1,0.5,-1.5,90,6,0,1,197
2015-01-19 0:00,3,1,0,-3,93,8,0,0,128
2015-01-19 1:00,3,2,0.5,-2.5,93,8,0,0,57
2015-01-19 2:00,3,2,1,0,93,5.5,0,0,30
2015-01-19 3:00,3,2,0.5,-0.5,93,3.5,0,0,32
2015-01-19 4:00,3,3,0.5,-1,93,4.5,0,0,36
2015-01-19 5:00,3,3,1,-1,93,6.5,0,0,88
2015-01-19 6:00,3,3,1,-1,90,7,0,0,472
2015-01-19 7:00,3,2,1,-1,90,6.5,0,0,1695
2015-01-19 8:00,3,3,2,-0.5,84,7.5,0,0,3554
2015-01-19 9:00,3,3,2,-0.5,87,8,0,0,1828
2015-01-19 10:00,3,2,3,1,75,7.5,0,0,794
2015-01-19 11:00,3,2,3.5,3,72.5,3,0,0,688
2015-01-19 12:00,3,2,4,1.5,70,9,0,0,923
2015-01-19 13:00,3,2,4,2,70,8,0,0,913
2015-01-19 14:00,3,3,5,3.5,66,7.5,0,0,815
2015-01-19 15:00,3,3,5,4,63.5,6,0,0,908
2015-01-19 16:00,3,3,4,2.5,67.5,6.5,0,0,1257
2015-01-19 17:00,3,2,3.5,2.5,72.5,6,0,0,2774
2015-01-19 18:00,3,3,3.5,2.5,72.5,6,0,0,2543
2015-01-19 19:00,3,3,3.5,1.5,72.5,7,0,0,1442
2015-01-19 20:00,3,3,3,1.5,75,6.5,0,0,893
2015-01-19 21:00,3,3,2.5,1.5,78,5.5,0,0,561
2015-01-19 22:00,3,2,2,1,75,3,0,0,356
2015-01-19 23:00,3,3,2,2,81,2,0,0,247
2015-01-20 0:00,3,3,1,0,87,3,0,0,85
2015-01-20 1:00,3,1,0.5,-1,90,6.5,0,0,49
2015-01-20 2:00,3,1,0,-1,93,3,0,0,40
2015-01-20 3:00,3,1,-0.5,-0.5,90,4,0,0,18
2015-01-20 4:00,3,1,-1,-2,93,3,0,0,32
2015-01-20 5:00,3,2,-0.5,-0.5,93,4,0,0,80
2015-01-20 6:00,3,1,-1,-2,93,5,0,0,520
2015-01-20 7:00,3,1,-1,-3.5,96.5,6.5,0,0,1791
2015-01-20 8:00,3,1,-0.5,-3.5,96.5,7,0,0,3700
2015-01-20 9:00,3,1,0,-3,93,9,0,0,1818
2015-01-20 10:00,3,2,1,0,87,5,0,0,806
2015-01-20 11:00,3,2,2.5,1,78,6,0,0,636
2015-01-20 12:00,3,1,3.5,1,78,9,0,0,894
2015-01-20 13:00,3,2,4.5,2,72.5,9,0,0,966
2015-01-20 14:00,3,2,5,2,68,11,0,0,806
2015-01-20 15:00,3,2,4,1,75,13,0,0,897
2015-01-20 16:00,3,3,4,1,78,13,0,0,1287
2015-01-20 17:00,3,1,4,1,78,12,0,0,2683
2015-01-20 18:00,3,1,4,1,75,12,0,0,2624
2015-01-20 19:00,3,1,4,1,72.5,13,0,0,1448
2015-01-20 20:00,3,2,4,1,70,14,0,0,758
2015-01-20 21:00,3,2,4,0.5,70,16,0,0,603
2015-01-20 22:00,3,1,4,0.5,70,17.5,0,0,447
2015-01-20 23:00,3,4,4,0,70,18.5,0,0,259
2015-01-21 0:00,3,4,3.5,-0.5,72.5,18,0,0,151
2015-01-21 1:00,3,4,3,-1.5,81,18.5,0,0,70
2015-01-21 2:00,3,3,3,-1,81,19,0,0,56
2015-01-21 3:00,3,4,3,-1,81,17,0,0,24
2015-01-21 4:00,3,7,3,-1,84,16,0,0,41
2015-01-21 5:00,3,7,3,-0.5,87,14,0,0,81
2015-01-21 6:00,3,7,3,-1,87,18,0,0,522
2015-01-21 7:00,3,3,3,-1,87,18,0,0,1656
2015-01-21 8:00,3,3,3,-1,87,18,0,0,3655
2015-01-21 9:00,3,3,3,-1,87,18,0,0,1976
2015-01-21 10:00,3,3,3,-1,87,17,0,0,821
2015-01-21 11:00,3,3,3,-1,87,16,0,0,666
2015-01-21 12:00,3,7,3,-1,87,17,0,0,805
2015-01-21 13:00,3,3,3.5,0,84,16,0,0,821
2015-01-21 14:00,3,4,3,-1,87,17,0,0,701
2015-01-21 15:00,3,4,3,-1,87,18,0,0,759
2015-01-21 16:00,3,4,3,-1,87,16,0,0,1217
2015-01-21 17:00,3,4,3,-0.5,84,14,0,0,2503
2015-01-21 18:00,3,4,3,0,87,11,0,0,2511
2015-01-21 19:00,3,7,3,0,87,13,0,0,1359
2015-01-21 20:00,3,4,3,0.5,81,9,0,0,890
2015-01-21 21:00,3,4,3,2,81,6,0,0,666
2015-01-21 22:00,3,3,3,2,81,6,0,0,480
2015-01-21 23:00,3,1,3,2.5,81,3,0,0,351
2015-01-22 0:00,3,1,2.5,2.5,84,2,0,0,138
2015-01-22 1:00,3,2,2,2,87,2,0,0,81
2015-01-22 2:00,3,3,2,2,87,2,0,0,54
2015-01-22 3:00,3,4,2,1,87,5.5,0,0,37
2015-01-22 4:00,3,3,2,1,87,5,0,0,39
2015-01-22 5:00,3,3,2,1,87,5,0,0,89
2015-01-22 6:00,3,3,2,2,84,2,0,0,512
2015-01-22 7:00,3,3,2,2,81,2,0,0,1677
2015-01-22 8:00,3,3,2,1,81,5,0,0,3828
2015-01-22 9:00,3,3,2.5,2.5,78,2,0,0,1911
2015-01-22 10:00,3,3,4,1.5,70,9,0,0,789
